4.13E-02	0.887	0.603
4.07E-02	0.87	0.601
4.00E-02	0.851	0.596
3.87E-02	0.805	0.57
3.76E-02	0.781	0.515
3.65E-02	0.788	0.473
3.54E-02	0.779	0.439
3.44E-02	0.783	0.414
3.35E-02	0.786	0.391
3.26E-02	0.791	0.371
3.18E-02	0.793	0.353
3.10E-02	0.795	0.334
3.02E-02	0.799	0.317
2.95E-02	0.804	0.303
2.88E-02	0.807	0.292
2.82E-02	0.807	0.282
2.76E-02	0.805	0.27
2.70E-02	0.805	0.254
2.64E-02	0.809	0.238
2.58E-02	0.814	0.225
2.53E-02	0.821	0.213
2.48E-02	0.828	0.204
2.38E-02	0.839	0.19
2.30E-02	0.848	0.18
2.21E-02	0.856	0.171
2.14E-02	0.861	0.166
2.07E-02	0.863	0.162
2.00E-02	0.859	0.156
1.94E-02	0.857	0.147
1.88E-02	0.856	0.136
1.82E-02	0.855	0.124
1.77E-02	0.857	0.112
1.72E-02	0.862	9.97E-02
1.68E-02	0.869	9.27E-02
1.63E-02	0.873	8.71E-02
1.59E-02	0.875	8.18E-02
1.55E-02	0.878	7.52E-02
1.51E-02	0.881	6.82E-02
1.49E-02	0.884	6.53E-02
1.49E-02	0.885	6.37E-02
1.48E-02	0.888	6.33E-02
1.47E-02	0.888	6.54E-02
1.46E-02	0.887	6.48E-02
1.44E-02	0.886	6.13E-02
1.43E-02	0.887	5.76E-02
1.42E-02	0.888	5.58E-02
1.41E-02	0.889	5.54E-02
1.24E-02	0.889	4.54E-02
1.18E-02	0.9	3.53E-02
1.13E-02	0.911	2.83E-02
1.03E-02	0.929	1.78E-02
8.27E-03	0.963	1.01E-02
6.89E-03	0.979	1.07E-02
6.20E-03	0.983	1.15E-02
5.64E-03	0.986	1.18E-02
4.77E-03	0.988	1.06E-02
4.13E-03	0.991	8.95E-03
3.14E-03	0.99525	6.15E-03
2.74E-03	0.99592	6.10E-03
2.48E-03	0.996	5.60E-03
2.36E-03	0.99624	3.76E-03
2.16E-03	0.99652	2.85E-03
1.95E-03	0.99665	2.68E-03
1.76E-03	0.99708	2.34E-03
1.60E-03	0.99734	1.86E-03
1.46E-03	0.99759	1.57E-03
1.33E-03	0.99788	1.23E-03
1.23E-03	0.9982	9.40E-04
1.04E-03	0.99871	5.33E-04
9.89E-04	0.99885	4.40E-04
8.34E-04	0.999085	3.10E-04
8.00E-04	0.999156	2.67E-04
7.00E-04	0.999395	1.68E-04
6.00E-04	0.999637	9.88E-05
5.00E-04	0.999706	2.36E-04
4.00E-04	0.999769	1.20E-04
3.50E-04	0.999794	9.07E-05
3.00E-04	0.999831	5.25E-05
2.50E-04	0.999879	2.75E-05
2.00E-04	0.9999227	1.25E-05
1.75E-04	0.9999415	7.78E-06
1.50E-04	0.9999578	4.52E-06
1.45E-04	0.9999608	4.02E-06
1.35E-04	0.9999665	3.13E-06
1.25E-04	0.9999719	2.39E-06
