2.480	3.02864	0
2.362	3.029963	0
2.254	3.031472	0
2.156	3.035286	0
2.066	3.037604	0
1.984	3.038153	0
1.907	3.039663	0
1.837	3.042028	0
1.771	3.045972	0
1.710	3.049283	0
1.653	3.050526	0
1.600	3.050904	0
1.550	3.052127	0
1.503	3.054058	0
1.459	3.057175	0
1.417	3.062197	0
1.378	3.06785	0
1.340	3.073364	0
1.305	3.078328	0
1.272	3.08229	0
1.240	3.0848	0
1.210	3.085405	0
1.181	3.080932	0
1.153	3.074055	0
1.127	3.06672	0
1.102	3.061391	0
1.078	3.052356	0
1.055	3.040542	0
1.033	3.054775	0
1.012	3.094183	0
0.9919	3.118516	0
0.9724	3.120053	0
0.9537	3.129231	0
0.9357	3.13011	0
0.9184	3.129863	0
0.9017	3.139738	0
0.8856	3.149992	0
0.8701	3.160033	0
0.8551	3.160293	0
0.8406	3.170646	0
0.8266	3.181148	0
0.8130	3.18935	0
0.7999	3.179011	0
0.7872	3.183844	0
0.7749	3.212886	0
0.7630	3.220472	0
0.7514	3.219656	0
0.7402	3.221851	0
0.7293	3.232604	0
0.7187	3.243253	0
0.7085	3.251057	0
0.6985	3.245419	0
0.6888	3.249443	0
0.6794	3.2719	0
0.6702	3.268897	0
0.6612	3.278105	0
0.6525	3.290695	0
0.6441	3.293316	0
0.6358	3.310146	0
0.6278	3.320627	0
0.6199	3.324595	0
0.6123	3.335427	0
0.6048	3.345643	0
0.5975	3.356503	0
0.5904	3.359915	0
0.5835	3.363865	0
0.5767	3.397025	0
0.5700	3.411332	0
0.5636	3.415891	0
0.5572	3.434483	0
0.5510	3.447791	0
0.5450	3.457601	0
0.5391	3.468832	0
0.5333	3.457378	0
0.5276	3.545582	0
0.5220	3.527604	0
0.5166	3.527259	0
0.5113	3.548552	0
0.5061	3.540292	0
0.5009	3.567391	0
0.4959	3.608436	0
0.4910	3.629698	0
0.4862	3.639995	0
0.4815	3.660534	.000179
0.4769	3.691868	.010134
0.4723	3.73035	.01
0.4679	3.732445	.009144
0.4635	3.774332	.016275
0.4592	3.815624	.06906
0.4550	3.853578	.034103
0.4509	3.875322	.031462
0.4468	3.902269	.104629
0.4428	3.916189	.116189
0.4389	3.943078	.142703
0.4350	3.954648	.157906
0.4312	3.975639	.181306
