2.480	3.2327	0
2.254	3.239875	0
2.066	3.2477	0
1.907	3.2562	0
1.771	3.2654	0
1.653	3.275312	0
1.550	3.286	0
1.459	3.297525	0
1.378	3.3099	0
1.305	3.323131	0
1.240	3.3373	0
1.181	3.352481	0
1.127	3.3687	0
1.078	3.385994	0
1.033	3.4044	0
0.9919	3.423944	.000006
0.9537	3.4447	0
0.9184	3.466725	.000044
0.8856	3.4901	.0001
0.8551	3.514906	.00015
0.8266	3.5412	.0002
0.7999	3.569037	.000213
0.7749	3.5985	.0003
0.7514	3.62965	.000594
0.7293	3.6626	.001
0.7085	3.697456	.001481
0.6888	3.7343	.002
0.6702	3.7732	.0025
0.6525	3.8143	.003
0.6358	3.8573	.003438
0.6199	3.9036	.004
0.6048	3.950506	.004813
0.5904	4.01	.006
0.5767	4.104775	-.00625
0.5636	4.2	.01
0.5510	4.258749	.119625
0.5391	4.31	.24
0.5276	4.37125	.29125
0.5166	4.44	.33
0.5061	4.520625	.39
0.4959	4.61	.46
0.4862	4.70375	.535
0.4769	4.81	.63
0.4679	4.945625	.744375
0.4592	5.08	.92
0.4509	5.23	1.238125
0.4428	5.27	1.58
0.4350	4.985626	1.866874
0.4275	4.66	2.06
0.4203	4.54875	2.035625
0.4133	4.52	1.97
0.4065	4.54	2.0175
0.3999	4.57	2.12
0.3936	4.56625	2.290625
0.3875	4.51	2.47
0.3815	4.331875	2.605
0.3757	4.14	2.69
0.3701	4.033125	2.675625
0.3647	3.97	2.64
0.3594	3.94875	2.654375
0.3542	3.95	2.69
0.3493	3.955625	2.743125
0.3444	3.96	2.81
0.3397	3.953125	2.885625
0.3351	3.93	2.97
0.3306	3.874375	3.06
0.3263	3.81	3.16
0.3220	3.765625	3.2725
0.3179	3.71	3.4
0.3139	3.620625	3.551875
0.3100	3.5	3.71
0.3061	3.346249	3.860626
0.3024	3.15	4
0.2988	2.893123	4.1375
0.2952	2.6	4.22
0.2917	2.26875	4.181876
0.2883	1.96	4.07
0.2850	1.743751	3.895001
0.2818	1.59	3.7
0.2786	1.50125	3.536251
0.2755	1.45	3.39
0.2725	1.409375	3.26625
0.2695	1.38	3.16
0.2666	1.3525	3.069999
0.2638	1.33	2.99
0.2610	1.3125	2.911875
0.2583	1.3	2.84
0.2556	1.2925	2.775625
0.2530	1.29	2.72
0.2505	1.29375	2.675625
0.2480	1.3	2.64
0.2455	1.305625	2.610625
0.2431	1.31	2.59
0.2407	1.31375	2.58125
0.2384	1.31	2.58
0.2362	1.290625	2.585
0.2339	1.26	2.59
0.2317	1.216875	2.589375
0.2296	1.17	2.58
0.2275	1.1275	2.553125
0.2254	1.09	2.52
0.2234	1.061875	2.48875
0.2214	1.04	2.46
0.2194	1.0225	2.4375
0.2175	1.01	2.42
0.2156	1.0025	2.4075
0.2138	1	2.4
